,designation,period,provenience,museum_no,accession_no,excavation_no
P200931,Akkadica 117 015 O.118,Old Babylonian,uncertain,MRAH O.0118,,
P200932,Akkadica 117 015 O.119,Old Babylonian,uncertain,MRAH O.0119,,
P200933,Akkadica 117 016 O.120,Old Babylonian,uncertain,MRAH O.120,,
P227953,"OIP 011, 105 + 109 + 148",Old Babylonian,Nippur,CBS 04803 + CBS 06591 + CBS 05962,,
P227955,"OIP 011, 030",Old Babylonian,Nippur,CBS 04805,,
P227962,CBS 04813 + CBS 06853,Old Babylonian,uncertain,CBS 04813 + CBS 06853,,
P227972,"OIP 011, p. 014, CBS 04826 (unpub. dup.)",Old Babylonian,Nippur,CBS 04826,,
P227988,"OIP 011, 096",Old Babylonian,Nippur,CBS 04846,,
P228140,N 2469,Old Babylonian,Nippur,N 2469,,
P228267,N 4541,Old Babylonian,Nippur,N 4541,,
P228282,N 4581,Old Babylonian,Nippur,N 4581,,
P228489,N 5544,Old Babylonian,Nippur,N 5544,,
P228766,"BPOA 09, 257",Old Babylonian,Nippur,UM 29-16-541,,
P228782,UM 29-16-583,Old Babylonian,Nippur,UM 29-16-583,,
P228991,"PBS 11/1, 040",Old Babylonian,Nippur,CBS 05912 + N 4966,,
P229038,HS 1607 + HS 2946,Old Babylonian,Nippur,HS 1607 + HS 2946,,
P229160,CBS 05873,Old Babylonian,uncertain,CBS 05873,,
P229166,"EEN 061, CBS 06098",Old Babylonian,Nippur,CBS 06098 + N 3960 + N 5128,,
P229216,CBS 06542,Old Babylonian,Nippur,CBS 06542,,
P229278,N 5350,Old Babylonian,Nippur,N 5350,,
P229318,"OIP 011, 249",Old Babylonian,Nippur,CBS 06527,,
P229326,"OIP 011, 225",Old Babylonian,Nippur,CBS 06530,,
P229365,A 33510,Old Babylonian,Nippur,A 33510,,3N-T0920y
P229384,Ist Ni 03949,Old Babylonian,Nippur,Ist Ni 03949,,
P229387,CBS 15210,Old Babylonian,Nippur,CBS 15210,,
P229411,N 5248,Old Babylonian,Nippur,N 5248,,
P229414,CBS 15225,Old Babylonian,Nippur,CBS 15225,,
P229428,Ist Ni 03775,Old Babylonian,Nippur,Ist Ni 03775,,
P229443,"PBS 05, 128",Old Babylonian,Nippur,CBS 14006,,
P229564,A 30173,Old Babylonian,Nippur,A 30173,newpenn,3N-T0163
P229567,N 6041 + N 6049 + UM 29-16-195,Old Babylonian,Nippur,N 6041 + N 6049 + UM 29-16-195,,
P229570,N 4976,Old Babylonian,Nippur,N 4976,,
P229573,A 30214,Old Babylonian,Nippur,A 30214,,3N-T0329
P229576,UM 29-13-511,Old Babylonian,Nippur,UM 29-13-511,,
P229582,A 33416,Old Babylonian,Nippur,A 33416,,
P229585,UM 29-16-071,Old Babylonian,Nippur,UM 29-16-071,,
P229588,CBS 13637,Old Babylonian,Nippur,CBS 13637,,
P229621,N 6091,Old Babylonian,Nippur,N 6091,,
P229633,"OIP 011, 014",Old Babylonian,Nippur,CBS 06560,,
P229642,IM 058749,Old Babylonian,Nippur,IM 058749,,3N-T0836
P229645,N 5072,Old Babylonian,Nippur,N 5072,newpenn,
P229649,"OIP 011, 034",Old Babylonian,Nippur,CBS 06489,,
P229669,CBS 01593,Old Babylonian,Nippur,CBS 01593,,
P229699,"SP p. 37 pl. 22 WW, N 5863",Old Babylonian,Nippur,N 5863,,
P229702,"SP 162 pl. 41 M, CBS 13866",Old Babylonian,Nippur,CBS 13866,,
P229711,SP 168 pl. 61 EEE,Old Babylonian,Nippur,CBS 13609,,
P229719,"NABU 1994/091, CBS 06781",Old Babylonian,uncertain,CBS 06781,,
P229720,"NABU 1994/091, CBS 07335",Old Babylonian,Nippur,CBS 07335 + N 5955 + N 6084,,
P229721,"NABU 1994/091, CBS 07355",Old Babylonian,Nippur,CBS 07355,,
P229722,CBS 19809,Old Babylonian,Nippur,CBS 19809,,
P229743,HS 1608 + HS 2629,Old Babylonian,Nippur,HS 1608 + HS 2629,,
P229764,HS 1451,Old Babylonian,Nippur,HS 1451,,
P229931,HS 1752,Old Babylonian,Nippur,HS 1752,,
P229940,HS 1770,Old Babylonian,Nippur,HS 1770,,
P229969,HS 1808,Old Babylonian,Nippur,HS 1808,,
P229997,HS 1851,Old Babylonian,Nippur,HS 1851,,
P230119,Ist Ni 05027,Old Babylonian,Nippur,Ist Ni 05027,,
P230144,N 3815,Old Babylonian,uncertain,N 3815,,
